campaign,station_id,field_start,field_end,field_days,has_media,media_status,note
otono_2026,CT01,2025-11-24,2026-05-13,170,True,in_canonical,
otono_2026,CT02,2026-01-08,2026-05-13,125,True,in_canonical,
otono_2026,CT03,2026-01-13,2026-05-14,121,True,in_canonical,
otono_2026,CT04,2025-11-21,2026-05-13,173,True,in_canonical,
otono_2026,CT05,2026-01-08,2026-05-14,126,True,in_canonical,
otono_2026,CT06,2025-11-13,2026-05-13,181,True,in_canonical,
otono_2026,CT07,2026-01-08,2026-05-14,126,True,in_canonical,
otono_2026,CT08,2026-01-13,2026-05-13,120,True,in_canonical,
otono_2026,CT09,2025-11-21,2026-05-13,173,True,in_canonical,
otono_2026,CT10,2025-11-25,2026-05-14,170,True,in_canonical,
otono_2026,CT11,2025-11-25,2026-05-13,169,True,in_canonical,
otono_2026,CT12,2025-11-25,2026-05-13,169,True,in_canonical,
otono_2026,CT13,2025-11-25,2026-05-13,169,True,in_canonical,
otono_2026,CT14,2026-01-08,2026-05-14,126,True,in_canonical,
otono_2026,CT15,2025-11-25,2026-05-14,170,True,in_canonical,
otono_2026,CT16,2025-11-25,2026-05-14,170,True,in_canonical,
otono_2026,CT17,2026-01-08,2026-05-14,126,True,in_canonical,
otono_2026,CT18,2025-11-14,2026-05-15,182,True,in_canonical,
otono_2026,CT19,2025-11-21,2026-05-13,173,True,in_canonical,
otono_2026,CT20,2025-12-03,2026-05-14,162,True,in_canonical,
otono_2026,CT21,2026-01-13,2026-05-14,121,True,in_canonical,
otono_2026,CT22,2026-01-14,2026-05-15,121,True,in_canonical,
otono_2026,CT23,2026-01-14,2026-05-15,121,True,in_canonical,
otono_2026,CT24,2026-01-14,2026-05-15,121,True,in_canonical,
otono_2026,CT25,2026-01-14,2026-05-15,121,True,in_canonical,
otono_2026,CT26,2026-01-14,2026-05-15,121,True,in_canonical,
otono_2026,CT27,2025-12-11,2026-05-14,154,True,in_canonical,
